scaffold1	scaffold2	connections
1144	2324	21
443	9554	368
1643	6655	8
165	21	18
11498	4948	20
2187	5435	27
112	9186	12
443	9127	13
12809	8063	16
12502	38	4
107	7453	377
1131	1410	13
3202	630	11
4279	65	11
152	158	16
177	2649	2
12228	79	15
1251	1365	21
567	643	27
220	9974	13
1697	25	12
930	9825	15
3368	622	11
211	6724	3
1529	783	25
862	862	11
10890	8212	43
300	9706	20
12228	78	42
112	30	2
10438	1757	6
5	7384	15
77	891	109
1671	45	2
1883	82	6
536	838	4
499	499	2
113	9326	20
2448	3516	24
12502	495	16
1098	453	2
622	657	158
9326	983	8
1118	3241	21
5533	835	12
243	643	16
12228	682	4
3243	4326	9
1685	19	3
41	9350	24
2187	4058	21
25	8952	55
2174	436	35
10438	812	12
1364	3064	3
448	463	43
14255	1496	30
891	917	57
58	910	40
117	452	15
375	6826	23
10699	535	125
5435	6138	8
3253	4599	20
1130	7586	370
505	5918	14
1482	9173	12
517	746	10
2451	3206	65
154	7933	18
3119	6971	39
2869	5421	3
451	700	26
11884	814	14
1828	3755	2
2544	280	42
1564	617	22
1527	7922	2
3772	536	3
1856	9306	21
1817	625	2
1862	2655	4
1999	8104	20
243	243	19
1352	8	147
197	8755	18
682	90	2
1317	330	2
10200	599	28
4100	8952	8
6422	8212	12
1482	2683	10
448	699	49
10438	147	17
1197	7	21
3450	742	24
1261	3264	36
1958	2016	31
178	82	5
448	891	8
3111	7933	14
1317	972	4
1432	291	270
10963	1204	13
12610	886	30
187	362	645
465	8952	7
615	82	2
158	4100	17
1107	242	23
1004	3070	24
1062	1348	23
211	53	2
203	351	20
166	553	4
6637	7700	18
1628	6926	15
22	25	28
230	7384	18
5435	7807	2
1970	3331	4
1697	8350	10
1475	1480	22
237	3943	4
278	4168	17
253	713	22
130	1903	2
150	4100	2
2138	2451	45
10797	42	43
4078	807	18
2002	451	36
1512	744	10
2942	3788	27
12228	90	14
1828	3819	2
10438	1898	13
12227	6129	39
10438	63	17
458	905	28
3234	8212	46
1277	389	3
4058	4450	7
3707	3879	2
13396	2806	4
1071	5970	29
1130	6884	114
22	7955	28
14649	1641	29
206	9326	5
12518	4455	6
7933	840	16
193	1996	43
4262	667	2
3409	6422	3
1078	13334	10
392	67	6
243	977	2
10438	569	22
3598	6138	2
1853	972	2
179	184	430
784	9127	2
3812	5435	28
19	739	24
1795	828	5
12594	296	34
243	742	17
12809	3952	5
10438	977	21
12502	81	30
11208	2876	24
203	4037	17
1476	2506	21
3917	5435	17
2037	226	15
479	7556	29
1280	1795	54
2187	7807	5
10095	1833	32
2027	611	15
1862	828	24
4529	4794	31
1026	21	12
2451	47	2
20	23	9
11498	39	25
1460	185	15
2964	6826	10
2817	3879	2
13636	6999	37
1260	155	12
11650	5092	5
10506	86	17
1055	2351	6
2451	5185	29
12228	3	16
139	8	333
92	9305	19
7933	8896	4
2100	2716	8
8350	8952	61
2325	7922	2
1117	3331	13
427	68	34
116	9326	2
2325	7933	5
1350	4431	151
17	59	6
5246	990	10
3819	9802	2
382	52	32
1631	5883	4
2000	686	27
307	399	35
534	6413	6
4851	6868	28
1042	1261	33
1221	344	29
1903	299	14
5421	6680	3
1277	7933	22
10200	61	15
1058	1480	30
1320	1858	15
1035	10949	13
193	5397	23
1828	2090	11
571	865	11
282	76	3
10506	1312	9
11789	4279	12
6724	7955	56
44	9051	29
150	6828	5
700	781	12
2689	4058	11
12518	3598	9
193	5847	16
1757	7933	19
5787	6998	44
1448	52	193
39	9326	2
3809	8040	5
2806	3952	11
109	7955	24
5870	625	17
174	8896	13
7125	82	2
1807	474	31
389	9326	28
353	377	7
12610	1364	27
392	82	6
10200	140	21
3069	510	28
11380	625	3
1527	8896	16
557	884	15
4353	7933	12
2065	233	47
1687	401	6
11789	47	63
370	389	6
1107	138	22
346	6826	12
157	243	13
1277	82	2
1903	739	20
1877	642	11
10095	316	30
1697	8952	96
2869	3556	2
116	990	4
11498	2076	19
3354	499	37
14354	456	13
13396	5805	2
11825	536	3
1007	862	7
630	7764	12
339	787	40
1128	1203	22
440	9350	17
3092	86	2
4	9416	15
2291	707	15
4978	6986	2
207	7384	8
3804	8167	2
1433	7877	23
463	7263	323
10	11380	4
103	10438	18
11380	99	27
1192	3150	2
2142	452	21
3707	687	25
1475	1886	31
147	594	6
130	739	2
27	4279	2
57	739	7
253	56	14
10290	1697	20
1589	764	16
2090	667	6
1883	8479	10
1970	8961	2
1552	1996	5
3938	6868	17
197	2092	32
201	784	26
22	6129	2
2716	3398	9
157	7933	16
4262	9802	2
2646	80	26
6826	788	15
1903	517	32
42	6	2
1497	160	21
12518	2266	3
3727	779	14
11395	450	27
1106	203	3
1282	266	24
1660	468	126
